NCTId,BriefTitle,Condition,EligibilityCriteria,Location,StudyType,OverallStatus,HasResults
NCT06864494,"Determination of Lipocalin Type-prostaglandin (L-PGDS) in Blood, Urine, Vaginal Samples and Endometrial Ablation by Enzyme-linked Immunosorbent Assay","['Adenomyosis', 'Endometriosis']","Inclusion Criteria:

Common inclusion criteria:

* The patient must have given their free and informed consent and signed the consent form
* The patient must be a member or beneficiary of a health insurance plan

Adenomyosis + group:

* Female.
* Aged 40 (≥) to 55 (≤) years.
* Multiparous.
* Non-menopausal.
* Having an indication for a total inter-ovarian hysterectomy (excluding oncology).
* Suffering from adenomyosis.

Adenomyosis - group:

* Female.
* Aged 40 (≥) to 55 (≤) years.
* Multiparous.
* Non-menopausal.
* Having an indication for a total inter-ovarian hysterectomy (excluding oncology).
* Suffering from a functional pathology other than adenomyosis.

Control Group:

* Female.
* Aged 18 (≥) to 43 (≤) years.
* Nulliparous.
* Asymptomatic: absence of menometrorrhagia and pelvic pain.
* Support at the medically assisted procreation (MAP) center of the Nîmes University Hospital for male or idiopathic infertility.
* Indication to perform an endovaginal ultrasound as part of MAP management.
* Absence of uterine pathology visualized on endovaginal ultrasound.

Exclusion Criteria:

* History of autoinflammatory or autoimmune disease.
* History of atopic or asthmatic conditions.
* History of sleep apnea syndrome.
* Chronic or acute renal failure.
* Liver failure
* History of active neoplasia or cancer.
* Presence of a functional-looking ovarian cyst on imaging (endovaginal ultrasound and/or pelvic MRI).
* Taking nonsteroidal anti-inflammatory drugs (NSAIDs), corticosteroids, or aspirin in the 15 days prior to L-PGDS concentration measurement
* Undergoing estrogen-progestin hormonal contraception.

Adenomyosis groups:

- Contraindication to MRI.

Control Group:

- Endovaginal ultrasound refused by the patient.",['France'],OBSERVATIONAL,NOT_YET_RECRUITING,False
NCT06604091,Effect of Adenomyosis on ART Outcomes: a Prospective Cohort Study,"['Adenomyosis', 'in Vitro Fertilization']","Inclusion Criteria:

1. Age of all participants ≥ 20 and \&lt; 38 years.
2. Receiving IVF treatment because of adenomyosis or simple male factor.
3. Conforming to MUSA criteria.
4. Body mass index \&lt; 30 kg/m2.
5. The level of AMH ≥ 0.8 ng/ml.

Exclusion Criteria:

1. Uterine fibroids (International Federation of Gynecology and Obstetrics (FIGO) type 0--I--II or type III--IV fibroids \&gt; 3 cm).
2. Untreated endometrial polyps, hydrosalpinges or uterine adhesions.
3. RSA or RIF.
4. Intracytoplasmic sperm injection (ICSI) and preimplantation genetic testing (PGT).
5. Concurrent and/or recent involvement in other research within previous 3 months of study","['Shandong, China']",OBSERVATIONAL,RECRUITING,False
NCT04209127,Comparing Efficacy of Microwave Vs Embolization Treatment for Adenomyosis,['Adenomyosis'],"Inclusion Criteria:

* Healthy women aged 30-55 with symptomatic adenomyosis
* Premenopausal
* Adenomyosis diagnosted by TVUS
* Willing to comply with protocol

Exclusion Criteria:

* Body Mass Index \>35
* Treatment with anticoagulant/bleeding disorder
* Contraindication for UAE or general anesthesia",['Sweden'],INTERVENTIONAL,RECRUITING,False
NCT06239376,Artificial Cycle With or Without GnRH Agonist Pre-treatment for Frozen Embryo Transfer in Adenomyosis Patients,"['Adenomyosis', 'IVF', 'Frozen Embryo Transfer']","Inclusion Criteria:

* Confirm diagnosis with adenomyosis by using transvaginal ultrasonography (MUSA consensus) and/or pelvic magnetic resonance imaging.
* Age between 18 - 42
* Undergo less or equal to three previous IVF cycles
* Indicate for frozen embryo transfer
* Agree to have not more than two day-3 embryo or one blastocyst (day-5 and day-6) transferred
* Not participating in any other study

Exclusion Criteria:

* Embryos from IVM cycle
* Having uterine or adnexal abnormalities (e.g., intrauterine adhesions, unicornuate/ bicornuate/ arcuate uterus; unremoved hydrosalpinx, endometrial polyp, submucosal leiomyoma, or leiomyoma with endometrial cavity distortion)
* Having contraindications for exogenous hormones administration: breast cancer, risks of venous thromboembolism
* Embryos from the oocyte donation cycle.
* Patients with a history of GnRH injection within three months, measured from the last GnRHa injection to the study screening date.",['Vietnam'],INTERVENTIONAL,RECRUITING,False
NCT06478992,Hysteroscopic Suture Fixation of Mirena in the Treatment of Adenomyosis,"['Adenomyosis', 'Hysteroscopy']","Inclusion Criteria:

* Pain due to adenomyosis (lower abdominal pain and low back pain) visual analogue scale (VAS) ≥40mm or menstrual volume score (PBAC) ≥100;

  * Adenomyosis was confirmed by ultrasound or magnetic resonance imaging (MRI);

    * The uterine volume measured by transvaginal gynecological three-dimensional ultrasound was more than 150cm3 and less than 280cm3 (the volume was about 280cm3 at 10 weeks of pregnancy); ④ A strong desire to preserve the uterus; ⑤ No fertility requirements within nearly one year;

      * Premenopausal women aged ≥18 years old; ⑦ Willing and able to abide by the study protocol, and have the ability to clearly judge the amount of menstruation and the degree of pain.

Exclusion Criteria:

* Presence of contraindications to Mirena (known or suspected pregnancy, current pelvic inflammatory disease or recurrent pelvic inflammatory disease, lower genital tract infection, postpartum endometritis, infectious abortion within the past 3 months, cervicitis, cervical dysplasia, uterine or cervical malignant lesions, progestin-dependent tumors, abnormal uterine bleeding of unknown cause, congenital or acquired uterine abnormalities, these include fibroids that deform the cervix, conditions that increase susceptibility to infections, acute liver diseases or tumours, allergy to active ingredients or excipient);

  * Malignant tumors (including reproductive system and other systems);

    * Acute stage of heart, liver and kidney failure or other patients who cannot tolerate operation;

      * The history of Mirena displacement or expulsion;

        * Ultrasound showed the presence of ovarian chocolate cyst; ⑥ The presence of deep endometrial nodules by gynecological examination;

          * The presence of intramural or subserous myoma ≥3cm or any size of uterine submucosal myoma (type 0, 1, 2); ⑧ Patients who are unwilling to participate in the study or who were considered by the investigators to be unsuitable for the study.",,INTERVENTIONAL,NOT_YET_RECRUITING,False
NCT06332560,Pain in Endometriosis And the Relation to Lifestyle,"['Endometriosis', 'Adenomyosis']","Inclusion Criteria:

* Age from 17 years
* Premenopausal status
* Body Mass Index (BMI) 18-30 kg/m2
* Ability to understand the explanation about the diet intervention (DI) and CBT
* Willing to follow the DI
* Willing to continue their use of food supplements
* Willing to undergo CBT
* Willing to collect menstrual effluent, and therefore willing to have two stop weeks from hormonal contraception (if applicable) during the study period.

Exclusion Criteria:

* Recurrent miscarriages (\> 2)
* Eating disorder
* Diagnosed with Crohn's disease, Ulcerative Colitis, short bowel syndrome or another chronic inflammatory disease
* Self-reported celiac disease
* Vegan diet
* Smoking
* Use of immunosuppressive or psychotropic medication
* Score on FFQ \> 120
* Diagnosed with severe mental disorder currently requiring treatment by psychiatrist
* NRS average score below 4 during the last month
* Participation in another intervention study
* Unable to speak Dutch or to understand the intervention
* Need for surgery during the participation in the study
* Serious pain (NRS \> 4) from other origin than endometriosis
* Pregnant
* Scalp hair shorter than 4 cm","['Netherlands', 'Netherlands', 'Netherlands', 'Netherlands', 'Netherlands']",INTERVENTIONAL,RECRUITING,False
NCT06373822,New Perspectives in Adenomyosis Pathogenesis With Epigenetic Analysis and miRNAs,['Adenomyosis'],"Inclusion Criteria:

* Age ≥ 18 years
* Pre-menopausal

Exclusion Criteria:

* HIV or Hepatitis-positive
* having participated in another clinical study in the 12 months prior to recruitment
* presenting symptoms of endometriosis","['Woluwe-Saint-Lambert, Belgium']",OBSERVATIONAL,RECRUITING,False
NCT03421639,Aromatase Plus GnRH Analogue Versus GnRH Analog Alone in Adenomyosis,"['Uterine Adenomyosis', 'Recurrent Implantation Failure', 'Menstrual Pain']","Inclusion Criteria:

* women with healty conditions
* Adenomyosis
* increased uterine dimensions
* recurrent implantation failure

Exclusion Criteria:

* presence of systemic diseases","['Albania', 'Bulgaria', 'Italy']",INTERVENTIONAL,ACTIVE_NOT_RECRUITING,False
NCT06250569,Adenomyosis in Fertile Women in MUSA Criteria,['Adenomyosis'],"Inclusion Criteria:

* women with regular menstrual cycle attending outpatient clinic for contraception counseling
* age 18 -30 years old

Exclusion Criteria:

* Women on hormonal contraception
* Infertile women
* Associated pathologies like endometriosis, uterine fibroids. and ovarian cysts",['Egypt'],OBSERVATIONAL,NOT_YET_RECRUITING,False
NCT06174792,Evaluation of the Efficacy and Safety of Drospirenone in the Treatment of Adenomyosis,['Adenomyosis'],"Inclusion Criteria:

* age 18 years or older;
* regular menstrual cycle;
* adenomyosis diagnosed by imaging analysis (magnetic resonance imaging \[MRI\] or transvaginal ultrasound);
* no other treatment for adenomyosis for at least 3 months before drospirenone administration;
* painful symptoms (lower abdominal and/or lower back pain) with a score of three points or more on the verbal pain rating scale developed by Harada et al. during the menstrual cycle.

Exclusion Criteria:

* endometriosis or uterine leiomyoma diagnosed by imaging analysis (MRI or transvaginal ultrasound);
* benign ovarian cyst including endometrioma;
* other endocrine diseases;
* severe anemia (hemoglobin concentrations \<8.0 g/dL).",['Italy'],OBSERVATIONAL,NOT_YET_RECRUITING,False
